Transcript,Start,Stop
C55C2.5a.1|cdna|chromosome:WBcel235:I:2571782:2576020:-1|gene:WBGene00000006.1|gene_biotype:protein_coding|transcript_biotype:protein_coding|gene_symbol:aat-5,57.0,60.0
Y53H1C.1a.1|cdna|chromosome:WBcel235:I:11388689:11396660:-1|gene:WBGene00000010.1|gene_biotype:protein_coding|transcript_biotype:protein_coding|gene_symbol:aat-9,36.0,39.0
M79.1a.1|cdna|chromosome:WBcel235:X:10605832:10624185:-1|gene:WBGene00000018.1|gene_biotype:protein_coding|transcript_biotype:protein_coding|gene_symbol:abl-1,21.0,24.0
Y39D8C.1.1|cdna|chromosome:WBcel235:V:323774:330725:-1|gene:WBGene00000022.1|gene_biotype:protein_coding|transcript_biotype:protein_coding|gene_symbol:abt-4,564.0,567.0
F48E3.7.1|cdna|chromosome:WBcel235:X:7503823:7506633:-1|gene:WBGene00000061.1|gene_biotype:protein_coding|transcript_biotype:protein_coding|gene_symbol:lgc-11,186.0,189.0
T25C8.2.2|cdna|chromosome:WBcel235:III:13604339:13606067:-1|gene:WBGene00000067.1|gene_biotype:protein_coding|transcript_biotype:protein_coding|gene_symbol:act-5,,
F42G9.5a.1|cdna|chromosome:WBcel235:III:774321:778154:-1|gene:WBGene00000117.1|gene_biotype:protein_coding|transcript_biotype:protein_coding|gene_symbol:alh-11,450.0,453.0
F23B2.6.1|cdna|chromosome:WBcel235:IV:9147468:9148579:1|gene:WBGene00000121.1|gene_biotype:protein_coding|transcript_biotype:protein_coding|gene_symbol:aly-2,,
F55A12.7.1|cdna|chromosome:WBcel235:I:5342180:5344724:-1|gene:WBGene00000150.1|gene_biotype:protein_coding|transcript_biotype:protein_coding|gene_symbol:apm-1,60.0,63.0
F29G9.3.1|cdna|chromosome:WBcel235:V:6017970:6018886:1|gene:WBGene00000159.1|gene_biotype:protein_coding|transcript_biotype:protein_coding|gene_symbol:aps-1,,
F19H8.3.1|cdna|chromosome:WBcel235:II:14606472:14608342:1|gene:WBGene00000188.1|gene_biotype:protein_coding|transcript_biotype:protein_coding|gene_symbol:arl-3,162.0,165.0
Y37D8A.1.1|cdna|chromosome:WBcel235:III:12816789:12818100:-1|gene:WBGene00000203.1|gene_biotype:protein_coding|transcript_biotype:protein_coding|gene_symbol:arx-5,,
C53B7.4.1|cdna|chromosome:WBcel235:X:6841258:6842129:1|gene:WBGene00000210.1|gene_biotype:protein_coding|transcript_biotype:protein_coding|gene_symbol:asg-2,483.0,
F27C1.7b.1|cdna|chromosome:WBcel235:I:5428543:5429834:-1|gene:WBGene00000230.1|gene_biotype:protein_coding|transcript_biotype:protein_coding|gene_symbol:atp-3,,
Y56A3A.20.1|cdna|chromosome:WBcel235:III:11918828:11920237:-1|gene:WBGene00000369.1|gene_biotype:protein_coding|transcript_biotype:protein_coding|gene_symbol:ccf-1,252.0,255.0
F08F3.7.1|cdna|chromosome:WBcel235:V:5421018:5423488:-1|gene:WBGene00000373.1|gene_biotype:protein_coding|transcript_biotype:protein_coding|gene_symbol:cyp-14A5,120.0,123.0
F16B4.8a.1|cdna|chromosome:WBcel235:V:1577691:1585532:1|gene:WBGene00000387.1|gene_biotype:protein_coding|transcript_biotype:protein_coding|gene_symbol:cdc-25.2,75.0,78.0
